Linha de Fornecimento,Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar,Número de inscrição,Data de abertura,Endereço eletrônico,Telefone,Nome empresarial,Nome de fantasia,Natureza jurídica API,CNAE API,Logradouro API,Número API,Complemento API,CEP API,Bairro/Distrito API,Município API,UF API
ELEVADORES E ESCADAS ROLANTES,234,00028986000701,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim,00.028.986/0007-01FILIAL,06/02/1996,IGOR.SOARES@SCHINDLER.COM,11 20205625 11 20205267,ELEVADORES ATLAS SCHINDLER LTDA.,,2062 - Sociedade Empresária Limitada,00000 - Sem informação,R DONA MARIA ROSA,355,,29045090,ANDORINHAS,VITÓRIA,ES
ELEVADORES E ESCADAS ROLANTES,73866,05379701000105,,EGS ELEVADORES LTDA,Sim,,56057: Alfredo Chaves,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim,05.379.701/0001-05MATRIZ,11/11/2002,FINANCAS@EGSELEVADORES.COM.BR,27 33231317,EGS ELEVADORES LTDA,,2062 - Sociedade Empresária Limitada,00000 - Sem informação,R AMELIA DONDONE PAGANINI,121,LOJA  07,29240000,SANTA TEREZINHA II,ALFREDO CHAVES,ES
ELEVADORES E ESCADAS ROLANTES,76642,05530834000122,,DUNAS COMERCIAL LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789099: COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim,05.530.834/0001-22MATRIZ,25/02/2003,DUNAS_COMERCIAL@YAHOO.COM.BR,27 30641870,DUNAS COMERCIAL LTDA,,2062 - Sociedade Empresária Limitada,47890 - Comércio varejista de outros produtos novos não especificados anteriormente,R GUIMARAES ROSA,227,BOX 6,29164360,CHACARA PARREIRAL,SERRA,ES
ELEVADORES E ESCADAS ROLANTES,87047,06136591000105,,NOVA ELEVADORES LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim,06.136.591/0001-05MATRIZ,09/03/2004,NOVA@NOVAELEVADORES.COM.BR,27 32131038 27 33472184,NOVA ELEVADORES LTDA,NOVA ELEVADORES,2062 - Sociedade Empresária Limitada,00000 - Sem informação,R PEDRO ALVARES CABRAL,673,QUADRA27                  LOTE  1                   LOTE  2                   CASA  A,29160772,DE FATIMA,SERRA,ES
ELEVADORES E ESCADAS ROLANTES,167443,27321777000104,,ELEVADORES ELETRO LIDER LTDA,Sim,,57037: Vila Velha,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3314708: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS",,Sim,27.321.777/0001-04MATRIZ,22/07/1981,jfmedice2tropical.com.br,27 33230333,ELEVADORES ELETRO LIDER LTDA,,2062 - Sociedade Empresária Limitada,00000 - Sem informação,R ANTONIO REGIS DOS SANTOS,16-A,LOJA 03,29101695,ITAPUA,VILA VELHA,ES
ELEVADORES E ESCADAS ROLANTES,168283,28168052000190,,ELEVADORES NACIONAL DO BRASIL LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim,28.168.052/0001-90MATRIZ,03/05/1971,COBRANCA@ELEVADORESNACIONAL.COM.BR,27 33224447 27 32280957,ELEVADORES NACIONAL DO BRASIL LTDA,,2062 - Sociedade Empresária Limitada,"28224 - Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas",AV MARUIPE,859,PAVMTO: 1; : RUA JOSE MAZOCCO; : 15 2 PAVIMENTO; : RUA JOSE MAZOCCO; : 85;,29043213,MARUIPE,VITÓRIA,ES
ELEVADORES E ESCADAS ROLANTES,169675,29739737001508,,ELEVADORES OTIS LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3314708: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS",,Sim,29.739.737/0015-08FILIAL,28/07/1982,CARLA.ROCHA@OTIS.COM,11 43443402,ELEVADORES OTIS LTDA,,2062 - Sociedade Empresária Limitada,00000 - Sem informação,R PROFESSORA MARIA CANDIDA DA SILVA,158,LOJA  01,29075155,GOIABEIRAS,VITÓRIA,ES
ELEVADORES E ESCADAS ROLANTES,221521,90347840001270,,TK ELEVADORES BRASIL LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim,90.347.840/0012-70FILIAL,20/06/1980,DTRI@TKELEVATOR.COM,51 21297200,TK ELEVADORES BRASIL LTDA,,2062 - Sociedade Empresária Limitada,00000 - Sem informação,AV CARLOS GOMES DE SA,355,ANDAR 1,29066040,MATA DA PRAIA,VITÓRIA,ES
ELEVADORES E ESCADAS ROLANTES,268113,07277777000147,,DIGITAL TECNOLOGIA E SEGURANCA LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4649402: COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,,Sim,07.277.777/0001-47MATRIZ,16/03/2005,NFE@DIGITALSEG.COM.BR,27 32333137,DIGITAL TECNOLOGIA E SEGURANCA LTDA,DIGITAL TECNOLOGIA E SEGURANCA,2062 - Sociedade Empresária Limitada,46494 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,AV MIRAMAR,243,LOJA  03,29160752,DE FATIMA,SERRA,ES
ELEVADORES E ESCADAS ROLANTES,303341,14829403000152,,MARCUS DOS SANTOS TEIXEIRA 02896573690,Não,,56995: Serra,ES,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,4753900: COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,Sim,14.829.403/0001-52MATRIZ,04/01/2012,MTXCOMERCIAL@GMAIL.COM,27 30713697 27 96955658,MARCUS DOS SANTOS TEIXEIRA 02896573690,MTX COMERCIAL E SERVICOS,2135 - Empresário (Individual),47539 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,R DAS ROSAS,318,LOJA: FRENTE;,29177176,CASCATA,SERRA,ES
